Ref,Val,Package,PosX,PosY,Rot,Side
"FID1","Fiducial","Fiducial_0.75mm_Mask1.5mm",-4.100000,112.202000,180.000000,bottom
"FID1","Fiducial","Fiducial_0.75mm_Mask1.5mm",-89.100000,112.202000,180.000000,bottom
"FID2","Fiducial","Fiducial_0.75mm_Mask1.5mm",-4.100000,35.202000,180.000000,bottom
"FID2","Fiducial","Fiducial_0.75mm_Mask1.5mm",-89.100000,35.202000,180.000000,bottom
"FID2","Fiducial","Fiducial_0.75mm_Mask1.5mm",-174.100000,35.202000,180.000000,bottom
"FID3","Fiducial","Fiducial_0.75mm_Mask1.5mm",-157.600000,36.002000,180.000000,bottom
"FID3","Fiducial","Fiducial_0.75mm_Mask1.5mm",-242.600000,36.002000,180.000000,bottom
"FID3","Fiducial","Fiducial_0.75mm_Mask1.5mm",-72.600000,36.002000,180.000000,bottom
"J6","MEM2061-01-188-00-A","GCT_MEM2061-01-188-00-A_REVA",-151.500000,87.002000,90.000000,bottom
"J6","MEM2061-01-188-00-A","GCT_MEM2061-01-188-00-A_REVA",-66.500000,87.002000,90.000000,bottom
"J6","MEM2061-01-188-00-A","GCT_MEM2061-01-188-00-A_REVA",-236.500000,87.002000,90.000000,bottom
"KiKit_FID_B_1","Fiducial","Fiducial",-240.000000,126.503500,0.000000,bottom
"KiKit_FID_B_2","Fiducial","Fiducial",-5.000000,126.503500,0.000000,bottom
"KiKit_FID_B_3","Fiducial","Fiducial",-240.000000,2.500000,0.000000,bottom
"Q2","NX6008NBKR","SOT-23",-202.100001,12.602001,-90.000000,bottom
"Q2","NX6008NBKR","SOT-23",-117.100001,12.602001,-90.000000,bottom
"Q2","NX6008NBKR","SOT-23",-32.100001,12.602001,-90.000000,bottom
"Q3","NX6008NBKR","SOT-23",-120.600001,12.602000,-90.000000,bottom
"Q3","NX6008NBKR","SOT-23",-205.600001,12.602000,-90.000000,bottom
"Q3","NX6008NBKR","SOT-23",-35.600001,12.602000,-90.000000,bottom
"Q4","NX6008NBKR","SOT-23",-113.600000,12.601999,-90.000000,bottom
"Q4","NX6008NBKR","SOT-23",-198.600000,12.601999,-90.000000,bottom
"Q4","NX6008NBKR","SOT-23",-28.600000,12.601999,-90.000000,bottom
"Q5","NX6008NBKR","SOT-23",-25.100001,12.601998,-90.000000,bottom
"Q5","NX6008NBKR","SOT-23",-110.100001,12.601998,-90.000000,bottom
"Q5","NX6008NBKR","SOT-23",-195.100001,12.601998,-90.000000,bottom
"Q6","PMPB20EN","SOT1220-3",-66.700000,29.702001,-90.000000,bottom
"Q6","PMPB20EN","SOT1220-3",-151.700000,29.702001,-90.000000,bottom
"Q6","PMPB20EN","SOT1220-3",-236.700000,29.702001,-90.000000,bottom
"Q8","DMN65D8L-7","SOT-23",-152.199999,33.302000,90.000000,bottom
"Q8","DMN65D8L-7","SOT-23",-67.199999,33.302000,90.000000,bottom
"Q8","DMN65D8L-7","SOT-23",-237.199999,33.302000,90.000000,bottom
"Q9","DMN65D8L-7","SOT-23",-235.900000,97.802000,0.000000,bottom
"Q9","DMN65D8L-7","SOT-23",-150.900000,97.802000,0.000000,bottom
"Q9","DMN65D8L-7","SOT-23",-65.900000,97.802000,0.000000,bottom
"R1","1k","R0603",-218.400000,78.402000,90.000000,bottom
"R1","1k","R0603",-133.400000,78.402000,90.000000,bottom
"R1","1k","R0603",-48.400000,78.402000,90.000000,bottom
"R3","40k2","R0402",-135.200000,40.001999,90.000000,bottom
"R3","40k2","R0402",-220.200000,40.001999,90.000000,bottom
"R3","40k2","R0402",-50.200000,40.001999,90.000000,bottom
"R6","4k7","R0603",-141.100000,97.902000,0.000000,bottom
"R6","4k7","R0603",-56.100000,97.902000,0.000000,bottom
"R6","4k7","R0603",-226.100000,97.902000,0.000000,bottom
"R10","8k06","R0603",-132.550000,67.502000,180.000000,bottom
"R10","8k06","R0603",-47.550000,67.502000,180.000000,bottom
"R10","8k06","R0603",-217.550000,67.502000,180.000000,bottom
"R14","10K","R0603_Array_Concave_4",-134.000000,82.702000,0.000000,bottom
"R14","10K","R0603_Array_Concave_4",-49.000000,82.702000,0.000000,bottom
"R14","10K","R0603_Array_Concave_4",-219.000000,82.702000,0.000000,bottom
"R17","10k","R0603",-45.950000,42.902000,180.000000,bottom
"R17","10k","R0603",-130.950000,42.902000,180.000000,bottom
"R17","10k","R0603",-215.950000,42.902000,180.000000,bottom
"R28","10k","R0603",-140.900000,88.602000,-90.000000,bottom
"R28","10k","R0603",-225.900000,88.602000,-90.000000,bottom
"R28","10k","R0603",-55.900000,88.602000,-90.000000,bottom
"R32","10k","R0603",-210.300000,10.002000,90.000000,bottom
"R32","10k","R0603",-40.300000,10.002000,90.000000,bottom
"R32","10k","R0603",-125.300000,10.002000,90.000000,bottom
"R35","10K","R0603_Array_Concave_4",-115.350001,16.801999,90.000000,bottom
"R35","10K","R0603_Array_Concave_4",-30.350001,16.801999,90.000000,bottom
"R35","10K","R0603_Array_Concave_4",-200.350001,16.801999,90.000000,bottom
"R36","10k","R0603",-11.000000,100.902000,-90.000000,bottom
"R36","10k","R0603",-181.000000,100.902000,-90.000000,bottom
"R36","10k","R0603",-96.000000,100.902000,-90.000000,bottom
"R37","4k7","R0603",-207.550000,75.752000,-90.000000,bottom
"R37","4k7","R0603",-122.550000,75.752000,-90.000000,bottom
"R37","4k7","R0603",-37.550000,75.752000,-90.000000,bottom
"R40","10k","R0603",-124.000000,10.002000,90.000000,bottom
"R40","10k","R0603",-39.000000,10.002000,90.000000,bottom
"R40","10k","R0603",-209.000000,10.002000,90.000000,bottom
"R41","1M","R0603",-72.200000,96.302000,-90.000000,bottom
"R41","1M","R0603",-242.200000,96.302000,-90.000000,bottom
"R41","1M","R0603",-157.200000,96.302000,-90.000000,bottom
"R43","150k","R0603",-207.200000,48.502001,180.000000,bottom
"R43","150k","R0603",-37.200000,48.502001,180.000000,bottom
"R43","150k","R0603",-122.200000,48.502001,180.000000,bottom
"R46","10K","R0603_Array_Concave_4",-231.700001,35.302000,0.000000,bottom
"R46","10K","R0603_Array_Concave_4",-146.700001,35.302000,0.000000,bottom
"R46","10K","R0603_Array_Concave_4",-61.700001,35.302000,0.000000,bottom
"R47","52R3","R0603",-148.900001,11.752001,180.000000,bottom
"R47","52R3","R0603",-233.900001,11.752001,180.000000,bottom
"R47","52R3","R0603",-63.900001,11.752001,180.000000,bottom
"R48","10K","R0603_Array_Concave_4",-143.165000,34.537000,0.000000,bottom
"R48","10K","R0603_Array_Concave_4",-58.165000,34.537000,0.000000,bottom
"R48","10K","R0603_Array_Concave_4",-228.165000,34.537000,0.000000,bottom
"R49","4k7","R0603",-51.200000,110.702000,180.000000,bottom
"R49","4k7","R0603",-221.200000,110.702000,180.000000,bottom
"R49","4k7","R0603",-136.200000,110.702000,180.000000,bottom
"R50","10K","R0603_Array_Concave_4",-63.900000,31.502000,0.000000,bottom
"R50","10K","R0603_Array_Concave_4",-148.900000,31.502000,0.000000,bottom
"R50","10K","R0603_Array_Concave_4",-233.900000,31.502000,0.000000,bottom
"R51","10k","R0603",-148.400000,100.202000,0.000000,bottom
"R51","10k","R0603",-233.400000,100.202000,0.000000,bottom
"R51","10k","R0603",-63.400000,100.202000,0.000000,bottom
"R52","50m","R0805",-57.400000,104.802000,-90.000000,bottom
"R52","50m","R0805",-227.400000,104.802000,-90.000000,bottom
"R52","50m","R0805",-142.400000,104.802000,-90.000000,bottom
"R53","50m","R0805",-148.800000,104.302000,-90.000000,bottom
"R53","50m","R0805",-233.800000,104.302000,-90.000000,bottom
"R53","50m","R0805",-63.800000,104.302000,-90.000000,bottom
