Ref,Val,Package,PosX,PosY,Rot,Side
"C42","1u","C0603",-183.700000,41.152000,-90.000000,top
"C42","1u","C0603",-98.700000,41.152000,-90.000000,top
"C43","1u","C0603",-16.600000,34.052000,0.000000,top
"C43","1u","C0603",-101.600000,34.052000,0.000000,top
"C43","1u","C0603",-186.600000,34.052000,0.000000,top
"C44","100n","C0402",-16.300000,37.752000,0.000000,top
"C44","100n","C0402",-186.300000,37.752000,0.000000,top
"C44","100n","C0402",-101.300000,37.752000,0.000000,top
"C45","1u","C0603",-183.700000,34.752000,-90.000000,top
"C45","1u","C0603",-98.700000,34.752000,-90.000000,top
"C45","1u","C0603",-13.700000,34.752000,-90.000000,top
"C47","100n","C0603",-208.600000,78.202000,90.000000,top
"C47","100n","C0603",-123.600000,78.202000,90.000000,top
"C47","100n","C0603",-38.600000,78.202000,90.000000,top
"C48","1u","C0603",-214.400000,49.702000,-90.000000,top
"C48","1u","C0603",-44.400000,49.702000,-90.000000,top
"C48","1u","C0603",-129.400000,49.702000,-90.000000,top
"C86","100n","C0402",-101.300000,50.752000,0.000000,top
"C86","100n","C0402",-186.300000,50.752000,0.000000,top
"C86","100n","C0402",-16.300000,50.752000,0.000000,top
"C87","1u","C0603",-98.700001,47.752000,-90.000000,top
"C87","1u","C0603",-183.700001,47.752000,-90.000000,top
"C87","1u","C0603",-13.700001,47.752000,-90.000000,top
"C89","10u","C0603",-39.400000,49.702000,-90.000000,top
"C89","10u","C0603",-124.400000,49.702000,-90.000000,top
"C89","10u","C0603",-209.400000,49.702000,-90.000000,top
"C90","22p","C0603",-37.200000,47.202000,0.000000,top
"C90","22p","C0603",-122.200000,47.202000,0.000000,top
"C90","22p","C0603",-207.200000,47.202000,0.000000,top
"C94","47u","C_Elec_KEMET_EB",-67.300000,34.502000,90.000000,top
"C94","47u","C_Elec_KEMET_EB",-152.300000,34.502000,90.000000,top
"C94","47u","C_Elec_KEMET_EB",-237.300000,34.502000,90.000000,top
"C98","100n","C0603",-145.600000,110.002000,180.000000,top
"C98","100n","C0603",-60.600000,110.002000,180.000000,top
"C98","100n","C0603",-230.600000,110.002000,180.000000,top
"C99","1u","C0603",-60.600000,108.702000,180.000000,top
"C99","1u","C0603",-230.600000,108.702000,180.000000,top
"C99","1u","C0603",-145.600000,108.702000,180.000000,top
"C101","22u","C0603",-19.800000,34.802000,-135.000000,top
"C101","22u","C0603",-104.800000,34.802000,-135.000000,top
"C101","22u","C0603",-189.800000,34.802000,-135.000000,top
"D1","SS10P6-M3/86A","TO-277A-2",-119.550000,36.501999,180.000000,top
"D1","SS10P6-M3/86A","TO-277A-2",-34.550000,36.501999,180.000000,top
"D1","SS10P6-M3/86A","TO-277A-2",-204.550000,36.501999,180.000000,top
"D2","BLUE","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-68.700000,44.202000,180.000000,top
"D2","BLUE","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-238.700000,44.202000,180.000000,top
"D2","BLUE","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-153.700000,44.202000,180.000000,top
"D3","PINK","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-153.700000,45.701999,180.000000,top
"D3","PINK","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-68.700000,45.701999,180.000000,top
"D3","PINK","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-238.700000,45.701999,180.000000,top
"D4","WHITE","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-68.700000,47.202001,180.000000,top
"D4","WHITE","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-153.700000,47.202001,180.000000,top
"D4","WHITE","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-238.700000,47.202001,180.000000,top
"D5","PINK","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-238.700000,48.702000,180.000000,top
"D5","PINK","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-68.700000,48.702000,180.000000,top
"D5","PINK","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-153.700000,48.702000,180.000000,top
"D6","BLUE","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-68.700000,50.202000,180.000000,top
"D6","BLUE","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-153.700000,50.202000,180.000000,top
"D6","BLUE","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-238.700000,50.202000,180.000000,top
"D7","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-26.100000,13.302001,90.000000,top
"D7","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-111.100000,13.302001,90.000000,top
"D7","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-196.100000,13.302001,90.000000,top
"D8","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-204.600003,13.301997,90.000000,top
"D8","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-34.600003,13.301997,90.000000,top
"D8","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-119.600003,13.301997,90.000000,top
"D9","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-32.900002,13.302000,90.000000,top
"D9","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-117.900002,13.302000,90.000000,top
"D9","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-202.900002,13.302000,90.000000,top
"D10","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-199.500002,13.302000,90.000000,top
"D10","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-114.500002,13.302000,90.000000,top
"D10","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-29.500002,13.302000,90.000000,top
"D11","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-201.200000,13.302000,90.000000,top
"D11","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-31.200000,13.302000,90.000000,top
"D11","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-116.200000,13.302000,90.000000,top
"D12","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-112.800000,13.302000,90.000000,top
"D12","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-27.800000,13.302000,90.000000,top
"D12","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-197.800000,13.302000,90.000000,top
"D15","RED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-238.700000,74.802001,180.000000,top
"D15","RED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-68.700000,74.802001,180.000000,top
"D15","RED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-153.700000,74.802001,180.000000,top
"D16","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-153.700000,76.302000,180.000000,top
"D16","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-238.700000,76.302000,180.000000,top
"D16","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-68.700000,76.302000,180.000000,top
"D17","V_{BR} = 3v6","D_SOD-882",-68.850000,101.702000,180.000000,top
