"Reference","Value","Tolerance","MFR","MPN","Footprint","Datasheet","Qty","SUPPLIER_OC","SUPPLIER_URL"
"R52,R53","50m","±1% 1/2W","Vishay Dale","WSLP0805R0500FEA","rhais_rcl:R0805","https://www.vishay.com/docs/30122/wslp.pdf","2","541-10040-6-ND","https://www.digikey.com/short/mtq2n4qv"
"R55","249k","±1% 1/10W","Vishay Dale","CRCW0603249KFKEAC","rhais_rcl:R0603","https://www.vishay.com/docs/28773/crcwce3.pdf","1","541-5283-6-ND","https://www.digikey.com/short/8fvqvwd5"
"R56","39k2","±1% 1/10W","Vishay Dale","CRCW060339K2FKEA","rhais_rcl:R0603","https://www.vishay.com/docs/20035/dcrcwe3.pdf","1","541-39.2KHDKR-ND","https://www.digikey.com/short/fv7c84qr"
"R57","178k","±1% 1/10W","Vishay Dale","CRCW0603178KFKEAC","rhais_rcl:R0603","https://www.vishay.com/docs/28773/crcwce3.pdf","1","541-5199-6-ND","https://www.digikey.com/short/20p55d9t"
"SW1","RST","","XKB Connectivity"," TC-1109DE-C-F","lethalbit:SW_Tactile_SPST_Angled_TC-1109DE","https://www.lcsc.com/datasheet/lcsc_datasheet_2110151730_XKB-Connection-TC-1109DE-C-D_C400333.pdf","1","C400334","https://www.lcsc.com/product-detail/Tactile-Switches_XKB-Connection-TC-1109DE-C-F_C400334.html"
"SW2","DFU","","Omron Electronics Inc-EMC Div","B3U-1000P-B","rhais_button-smd:B3U-1000P-B","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3u.pdf","1","SW1143DKR-ND","https://www.digikey.com/short/vvt30n4j"
"U1","LFE5UM5G-45F-8BG381C","","Lattice","LFE5UM5G-45F-8BG381C","lethalbit:318caBGA","https://www.latticesemi.com/view_document?document_id=50461","1","220-2107-ND","https://www.digikey.com/short/f34t0pr0"
"U2,U3,U14,U15","HyperRAM","","Infineon Technologies","S80KS5122GABHI020","lethalbit-memory:TFBGA-24-6x8mm-1.0mm","https://www.infineon.com/dgdl/Infineon-S80KS5122_1.8_V_512-Mbit_HyperBus_Interface_HyperRAM_(Self-Refresh_DRAM)-DataSheet-v01_00-EN.pdf?fileId=8ac78c8c7dc4255f017dd81b77c1088f","4","448-S80KS5122GABHI020-ND","https://www.digikey.com/short/rwv27n90"
"U4","APX811-40UG-7","","Diodes Incorporated","APX811-40UG-7","Package_TO_SOT_SMD:SOT-143","https://www.diodes.com/assets/Datasheets/APX811_812.pdf","1","APX811-40UG-7DKR-ND","https://www.digikey.com/short/j8pcwd9w"
"U5","HD3SS460RHRR","","Texas Instruments","HD3SS460RHRR","rhais_package-qfn:WQFN-28-1EP_3.5x5.5_P0.5mm_EP2x4mm","https://www.ti.com/lit/ds/symlink/hd3ss460.pdf","1","296-47325-6-ND","https://www.digikey.com/short/34900nt7"
"U6,U8","TPD4E02B04DQA","","Texas Instruments","TPD4E02B04DQA","rhais_package-qfn:USON-10_2.5x1.0mm_P0.5mm","http://www.ti.com/lit/ds/symlink/tpd4e02b04.pdf","2","296-43875-6-ND","https://www.digikey.com/short/b5bnrq7b"
"U7","SP3400-02UTG","","Littlefuse","SP3400-02UTG","rhais_package-qfn:UDFN-6L","https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_sp3400_datasheet.pdf","1","SP3400-02UTGDKR-ND","https://www.digikey.com/short/bdh03q4d"
"U9","USB3318","","Microchip Technology","USB3318-CP-TR","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","https://ww1.microchip.com/downloads/en/DeviceDoc/3318.pdf","1","638-1064-6-ND","https://www.digikey.com/short/mrz3h08t"
"U10","FUSB302BMPX","","onsemi","FUSB302BMPX","Package_DFN_QFN:WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm","https://www.onsemi.com/pdf/datasheet/fusb302b-d.pdf","1","FUSB302BMPXDKR-ND","https://www.digikey.com/short/0f384m22"
"U11","ATSAMD09D14A-M","","Microchip","ATSAMD09D14A-MUT","rhais_package-qfn:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-42414-SAM-D09_Datasheet.pdf","1","ATSAMD09D14A-MUTDKR-ND","https://www.digikey.com/short/7423wbjd"
